frame,t,area,cx,cy,bw,bh,px
78,2.6,0.29345342706502636,0.42733872024255126,0.7660421695259201,0.784375,0.46221441124780316,53432
79,2.6333,0.3021199472759227,0.42724362615888023,0.7633514468850368,0.79375,0.46748681898066785,55010
80,2.6667,0.3098253514938489,0.43179010157233255,0.7579150837641438,0.80625,0.47627416520210897,56413
81,2.7,0.002328646748681898,0.007915683962264152,0.6335718075405379,0.025,0.1335676625659051,424
82,2.7333,0.008913664323374341,0.034151648182378314,0.6435900018083633,0.08125,0.140597539543058,1623
83,2.7667,0.01803602811950791,0.049257764920828256,0.6561867840881603,0.13125,0.2179261862917399,3284
84,2.8,0.0336061072056239,0.07966732717764341,0.6688854991123617,0.19375,0.2601054481546573,6119
85,2.8333,0.05355338312829525,0.11259934878474002,0.6737101814080986,0.26875,0.2688927943760984,9751
86,2.8667,0.06594354130052724,0.16189982926626134,0.6702516677807893,0.34375,0.2759226713532513,12007
87,2.9,0.06625659050966608,0.22099453953912468,0.6682692307692308,0.353125,0.2759226713532513,12064
88,2.9333,0.062456063268892796,0.26737848443545553,0.6669561782492937,0.34375,0.2741652021089631,11372
89,2.9667,0.0569804481546573,0.29215361445783133,0.6629211256272894,0.325,0.2671353251318102,10375
90,3.0,0.05451999121265378,0.30504747154225853,0.6616530904070719,0.321875,0.2618629173989455,9927
91,3.0333,0.054898945518453424,0.3118356717687075,0.6635905680374083,0.31875,0.2601054481546573,9996
92,3.0667,0.055266915641476275,0.3196788358342443,0.6601816290236187,0.31875,0.2583479789103691,10063
93,3.1,0.05357535149384886,0.32025980266529985,0.6564834941118926,0.325,0.2618629173989455,9755
94,3.1333,0.06011643233743409,0.3363094966197698,0.6472989145949584,0.3375,0.27240773286467485,10946
95,3.1667,0.06783282073813708,0.34905473241033114,0.6432538068184002,0.35625,0.28822495606326887,12351
96,3.2,0.07742750439367312,0.3615373191232799,0.6398170377031879,0.375,0.30755711775043937,14098
97,3.2333,0.08878514938488577,0.3736487844859582,0.6389155177598322,0.40625,0.3321616871704745,16166
98,3.2667,0.10131810193321616,0.38384496286860365,0.6369316995322053,0.83125,0.827768014059754,18448
99,3.3,0.12522517574692443,0.4378685419499145,0.5875965573304103,0.99375,0.836555360281195,22801
100,3.3333,0.14788554481546573,0.46922582352285813,0.5433712824943675,1.0,0.8295254833040422,26927
101,3.3667,0.1515872144112478,0.48302235426252677,0.5271824477972544,0.95,0.8014059753954306,27601
102,3.4,0.14159160808435853,0.4953871067840658,0.5220984323205281,0.84375,0.7557117750439367,25781
103,3.4333,0.12397297891036907,0.5108866233996368,0.520467902731828,1.0,0.687170474516696,22573
104,3.4667,0.10395430579964851,0.4989828230663568,0.5259830240058712,1.0,0.5676625659050967,18928
105,3.5,0.08496814586994728,0.5119465451489884,0.5390796931818349,0.89375,0.4903339191564148,15471
106,3.5333,0.07095232864674868,0.5216885014319994,0.545245888570818,0.75625,0.4358523725834798,12919
107,3.5667,0.06212104569420035,0.5222662120944214,0.5486329232364594,0.6625,0.3989455184534271,11311
108,3.6,0.060978690685413006,0.489818630099973,0.5251767006083158,0.8375,0.7135325131810193,11103
109,3.6333,0.06355997363796134,0.458703717705003,0.49146071616605946,0.759375,0.7100175746924429,11573
110,3.6667,0.06437829525483305,0.4515720973383382,0.4848000350234445,0.675,0.7100175746924429,11722
111,3.7,0.065625,0.4532594254749352,0.4873128782092493,0.60625,0.7135325131810193,11949
112,3.7333,0.0664433216168717,0.45844948545214087,0.49610518202111,0.55,0.7170474516695958,12098
113,3.7667,0.0703152460456942,0.4910575158166055,0.4878545463929739,0.775,0.7223198594024605,12803
114,3.8,0.07584028998242531,0.5257617314794699,0.4803974535340989,0.721875,0.7275922671353251,13809
115,3.8333,0.07956392794376098,0.5345842393180092,0.4807080537511178,0.646875,0.7328646748681898,14487
116,3.8667,0.08342486818980668,0.5223177254772877,0.4803788219749604,0.8625,0.7381370826010545,15190
117,3.9,0.08688488576449913,0.4993706542351454,0.4854187820360426,0.825,0.7416520210896309,15820
118,3.9333,0.08786247803163445,0.4699065898862358,0.49274404028095775,0.79375,0.7065026362038664,15998
119,3.9667,0.08603361159929701,0.4512849106287903,0.49468568899469734,0.76875,0.6608084358523726,15665
120,4.0,0.07955843585237259,0.4529150990611625,0.5063495036841825,0.74375,0.6151142355008787,14486
121,4.0333,0.07166080843585237,0.4885827808859595,0.5044163014700891,0.9625,0.5711775043936731,13048
122,4.0667,0.06745386643233743,0.5399408178635402,0.4875889645469716,0.89375,0.5272407732864675,12282
123,4.1,0.06193980667838313,0.575246608441213,0.4759085841729283,0.8375,0.4850615114235501,11278
124,4.1333,0.05281195079086116,0.5676089980241265,0.48092553711008895,0.796875,0.44639718804920914,9616
125,4.1667,0.0430085676625659,0.5429534861448091,0.49427279576304256,0.69375,0.4130052724077329,7831
126,4.2,0.03555030755711775,0.5286874324115557,0.502428771995177,0.603125,0.3866432337434095,6473
127,4.2333,0.030283391915641476,0.5202643271672107,0.5064679585372399,0.534375,0.36203866432337434,5514
128,4.2667,0.026499340949033393,0.5120116580310881,0.5105464545562163,0.48125,0.3427065026362039,4825
129,4.3,0.024791300527240774,0.508653633141338,0.5118751815285856,0.44375,0.3286467486818981,4514
130,4.3333,0.023160149384885764,0.5077187574104813,0.5165355059215087,0.4125,0.31985940246045697,4217
131,4.3667,0.023242530755711775,0.5037327209357277,0.5162632350058638,0.3875,0.3163444639718805,4232
132,4.4,0.023857644991212654,0.5033954880294659,0.5202286975631703,0.365625,0.31282952548330406,4344
133,4.4333,0.02702658172231986,0.47666188274740906,0.5099560757686741,0.7,0.43409490333919154,4921
134,4.4667,0.032771309314586994,0.46307084799731857,0.5100863772423785,0.69375,0.44815465729349735,5967
135,4.5,0.04335456942003515,0.4659401127438561,0.527071794421961,0.69375,0.4727592267135325,7894
136,4.5333,0.21045144991212653,0.2582989182911871,0.7869275274060219,0.575,0.7082601054481547,38319
137,4.5667,0.0,nan,nan,0.0,0.0,0
138,4.6,0.0,nan,nan,0.0,0.0,0
139,4.6333,0.0,nan,nan,0.0,0.0,0
140,4.6667,0.03845013181019332,0.2494375803456649,0.6373267288705179,1.0,0.5096660808435852,7001
141,4.7,0.0218695079086116,0.3413964402310397,0.4965998133957819,0.75625,0.4147627416520211,3982
142,4.7333,0.021858523725834796,0.34130967336683415,0.4965265695790022,0.75625,0.4147627416520211,3980
143,4.7667,0.021836555360281194,0.3411531690140845,0.4964651706371799,0.75625,0.4147627416520211,3976
144,4.8,0.02179811072056239,0.3408753779289494,0.496407350286336,0.75625,0.4147627416520211,3969
145,4.8333,0.021776142355008788,0.3407077553593947,0.49636826626656355,0.75625,0.4147627416520211,3965
146,4.8667,0.021770650263620385,0.3406675706357215,0.4963551577554759,0.75625,0.4147627416520211,3964
147,4.9,0.021748681898066783,0.3404995265151515,0.4963217411372069,0.75625,0.4147627416520211,3960
148,4.9333,0.02172671353251318,0.3403390419615774,0.49630425009018353,0.75625,0.4147627416520211,3956
149,4.9667,0.02172122144112478,0.3403010429835651,0.4963022047240596,0.75625,0.4147627416520211,3955
